,i_Host,Host,Throughput,Throughputs,Uncert,Start
0,0,x1922c0s3b0n0,23.193979265482707,"[22.85133209 23.3052699  23.34124018 23.46570927 23.45800284 23.23069239
 22.8641981  23.48968656 23.45394525 23.18504565 22.71875319 23.5141967
 23.16839368 22.8367203  23.50618213 23.08695702 23.45422029 23.24034291
 23.19559979 23.37056069 23.0673856  22.76776312 23.4624747  23.42661029
 23.37131171 23.39379655 23.01568807 23.22246541 22.87792909 23.39557531
 23.1351614  23.02509447 22.5151696  23.6053655  23.0376262  23.07769973
 23.47073493 22.95947652 23.32504322 23.40803422 23.30635623 22.8361988
 23.48031029 22.54454662 23.4364243  23.25885654 22.89213512 23.08142839
 23.17537385 22.77787585 23.16269185 23.27232106 23.26102064 23.39277046
 23.54007403 23.44370434 23.47335188 23.44597169 23.02840842 22.98276006
 22.87302327 23.17349416 23.38094278 22.9086546  23.48361871 22.98764701
 23.39653322 23.2590594  23.00357706 23.6103118  23.09175509 22.99174309
 23.34117208 22.88322974 23.1751053  23.37499927 23.1830972  23.23636026
 22.9100323  23.41646177 23.06791772 23.05389135 23.1878009  23.04778093
 23.22057808 23.39222326 23.25649001 23.10102366 23.08049612 23.43738556
 23.35370944 23.06033737 23.09608839 23.1792013  23.22131949 23.30241879
 23.38900892 23.13797173 22.5572602  23.4841702 ]",0.2415628209195759,2023-09-14 14:45:57.920110
1,1,x1922c0s4b0n0,22.871458224978024,"[23.25655762 23.04326661 23.16732018 22.41260485 23.35098278 22.85453091
 23.26913959 23.25243424 22.74976397 23.07643492 22.60231787 23.08449213
 23.20979918 23.15471401 23.08076247 23.07317369 23.00734797 23.19338061
 22.56820535 22.77223495 22.15127661 22.47828738 22.81561843 22.59306224
 22.44385529 22.34499556 22.49061017 22.76795751 22.82271316 22.74633571
 22.73793113 22.40011648 22.7183661  22.48561623 22.53419564 22.38169178
 22.09999696 22.49421477 22.58426046 22.63800695 22.32379549 22.86164987
 22.67689395 23.11403889 22.99042162 23.1925065  23.16148477 22.82857453
 22.93966009 23.11824694 22.68911376 23.20609624 22.25393408 23.20326934
 22.85714286 23.16463687 23.05708069 23.07909784 23.28092216 23.16074717
 22.9809775  23.0902888  23.15987552 23.14801419 22.6833881  22.63025835
 22.77690308 22.95644588 22.72817669 22.50079456 23.26622965 22.59459368
 23.11891503 22.5738093  22.86066993 23.27421682 23.16738727 23.16316131
 23.04426227 22.51200171 23.08469196 23.2323115  22.43535812 22.60908885
 23.21626532 22.46383323 22.66115623 22.53514779 22.85877563 23.0098626
 23.28119316 22.89252816 22.88375339 23.2508799  22.92401549 22.82512247
 23.04665219 22.98520328 23.31572996 23.33599753]",0.30767768881332724,2023-09-14 14:45:58.485797
2,2,x1922c0s7b0n0,23.027904892755068,"[23.5834456  23.06638795 23.39181287 22.73140571 23.34716653 23.05887507
 22.627634   23.31036291 23.31240074 23.24858256 22.90098188 23.27123791
 22.58929832 23.32966863 23.24290873 23.10235788 23.09368821 23.33320695
 23.40016029 23.33211812 22.73231    23.31131385 22.66083528 23.37889295
 23.30425157 22.24156002 23.10609452 23.47528053 23.21828672 22.92874606
 22.95815876 22.73754338 22.70327949 23.15478103 23.24716385 23.0866239
 23.1564566  23.43779755 23.24770429 23.31872027 22.66231173 23.04718335
 22.48852383 23.35793703 22.30139216 23.01118631 23.11777931 22.91810502
 22.98910029 23.35759604 23.31477866 23.13415787 23.21242561 22.83515586
 22.73528175 22.55865956 23.08522488 23.1892796  23.20851985 22.85185429
 23.2321091  23.14694258 23.24513741 22.47393024 22.82395031 23.24554267
 23.24837988 22.36986332 23.27726422 22.94933361 23.20212531 22.61413779
 23.28322589 23.34961969 23.12934217 23.04339936 22.39967744 23.07576929
 22.71036899 23.22051068 22.86014733 22.58037201 23.18854022 23.08768993
 22.92296451 23.08395925 22.52410783 22.81906761 23.30153645 22.59925309
 23.19338061 23.11597574 22.35304965 22.59618915 23.17134631 22.51871868
 23.22873627 23.09302158 23.09688856 23.35896006]",0.30591780994768075,2023-09-14 14:45:57.835442
3,3,x1922c1s1b0n0,22.950708947881914,"[23.16591136 23.03955027 22.80521213 22.48334125 23.1308803  22.9835524
 22.99769161 23.10162404 23.05628327 22.77696793 22.80287202 23.25466474
 22.8171802  23.06193282 23.17698525 22.92007483 23.14131825 22.32173998
 23.06352849 22.87963027 23.20501925 23.06505788 23.01793961 22.92165093
 23.02661877 22.76782792 23.2255667  23.05037082 22.86269523 23.06459239
 22.86772735 23.13870788 22.97563147 23.16933307 22.65114686 22.97286044
 22.62885009 22.69297539 23.25615198 23.01204681 22.89449359 23.14479965
 23.01118631 22.72288308 22.92362136 22.87616275 22.93361007 22.8919386
 23.12071905 22.3204944  22.97417989 23.12693507 22.51808484 23.07789945
 23.08322657 22.96118985 22.95249408 23.07763316 22.88100448 22.90714588
 22.8375678  22.67207396 23.01204681 22.37937517 23.11096731 23.12573171
 22.64447885 23.29034324 23.00926698 23.22529699 23.03623312 22.543149
 22.84193665 23.08302676 23.21963452 23.06479188 23.12265702 22.67348761
 23.09275494 22.63275526 23.01575428 23.2967865  22.96415582 22.59682741
 23.16342958 23.05369205 22.81841674 23.02204649 23.26521472 23.22590385
 22.69207423 22.93334709 23.10629473 22.45204384 22.95499673 23.19600333
 22.88977714 22.67368039 22.93472776 23.24473216]",0.22079457885998724,2023-09-14 14:45:58.548429
4,4,x1922c1s2b0n0,23.241537374219607,"[23.76997792 23.67641444 23.48720388 23.41070572 23.54679484 23.50438651
 23.49651664 23.09635511 23.49513651 23.41235001 22.6877625  23.43189374
 23.20320204 23.46619109 23.38729953 23.21498527 23.37131171 23.21256032
 23.34825676 23.4336783  23.46116737 23.28119316 23.26149409 23.44370434
 23.48913481 23.36455422 23.36202969 23.43800355 23.39810709 23.12900782
 23.44459749 23.46653525 23.26697398 23.15746206 23.17208459 23.40899315
 22.99676608 22.89875316 23.06299658 23.24405679 23.25169083 23.41988934
 23.43786622 23.38784651 22.66237592 23.26399693 23.20569236 23.29570107
 23.3780048  23.39454907 23.47101037 22.87577027 23.05688133 23.22192614
 23.24892038 23.38600056 22.4990227  23.15806538 23.40947264 23.30404791
 23.26873351 23.36421303 23.01462867 23.36407656 23.17933562 23.3842916
 23.17698525 23.38477008 23.31097422 22.90491597 22.66950413 22.87269629
 23.5267823  22.64806883 23.14801419 23.21761288 23.25980328 23.25378601
 23.31939999 22.98883605 23.53349552 23.41152784 23.35800523 23.1043595
 23.26650031 23.42112351 23.23919523 22.39271789 23.20024128 23.21094396
 23.28898722 22.6660358  22.92716898 22.73864205 22.81054417 23.39188126
 23.22725254 23.22954566 23.44143743 23.30737474]",0.2520805845115618,2023-09-14 14:45:58.398825
5,5,x1922c1s4b0n0,23.46849947195904,"[23.6232098  23.88993905 23.531142   23.00767881 23.78411162 23.05927386
 23.8561     22.60691659 23.73584379 23.10516025 23.03901946 23.33708671
 23.65401276 23.77485215 23.42475821 23.53910434 23.7476104  23.12432795
 23.60912729 23.4259929  23.57288293 23.62341908 23.66492828 23.71761804
 23.41235001 22.24842592 23.38613728 22.90996669 23.64660154 23.80555622
 23.46467686 23.61526018 23.58156865 23.77471084 23.46687943 23.43141332
 23.38442831 23.65408269 23.61505105 23.7339425  23.40789724 23.54762655
 23.66695856 23.35568667 23.09535495 22.77943245 23.32647146 23.4668106
 23.36455422 23.29034324 23.58149913 23.611148   23.64967733 23.52934256
 22.75617048 23.78913312 23.54450795 23.61226303 23.69513835 23.57392488
 23.57357756 23.38900892 23.38948759 23.73675934 23.50777079 23.72901465
 23.40700689 23.69113863 23.2699518  23.75198181 23.52629799 23.65541162
 22.68396697 23.76764748 23.63954423 23.6879819  22.98619392 23.61553902
 23.59638385 23.47865643 23.45497671 23.44047584 23.47121695 23.517169
 23.13195043 23.72141569 23.75162921 23.31899215 23.4570399  23.2168717
 23.53411859 23.69092815 23.33912922 23.53688819 23.4931356  23.61093895
 23.15746206 23.56288492 23.33783559 23.79245839]",0.2880529481206538,2023-09-14 14:45:58.619849
6,6,x1922c1s5b0n0,23.35580400842965,"[23.91193235 23.25987091 23.71930574 23.0139004  23.30112923 23.2563548
 23.25054203 23.4931356  23.57892751 23.51682335 23.23541542 23.15732799
 23.43079568 23.18692721 23.29692219 23.52975779 23.53633422 23.54561669
 23.3018758  23.261697   23.25243424 23.44961411 23.49955351 23.54229078
 23.58170767 23.20730798 23.4848596  22.95282334 23.54929014 23.57656489
 23.5801785  23.42942326 22.72036625 23.52083358 23.35827803 23.56906325
 23.4946535  23.28837706 23.14928686 23.51060328 23.5656613  23.44102531
 23.44610912 22.74258521 23.74309966 23.46027296 23.48527327 23.20199073
 23.35091463 22.77171639 23.49382553 23.22698279 23.31505045 23.31287628
 23.33844834 23.36216614 23.48479066 23.45745258 23.20757727 23.2088565
 23.42208351 22.0670784  23.60063014 23.23919523 23.19022068 23.56954932
 23.47590052 23.61811864 22.85577151 23.53626497 23.40762328 23.44555941
 23.24230099 23.37807312 23.29658297 23.47872534 23.53038066 23.28051566
 23.49368754 23.48741075 23.61888566 22.94742458 23.39140249 23.57156327
 23.48437702 23.4677055  23.56177456 23.41557077 23.40776026 23.08702365
 23.48479066 23.39119731 23.37937121 23.51267627 23.34709839 22.80046741
 22.84578524 23.6088486  23.06931464 23.45291388]",0.2550692231559731,2023-09-14 14:45:58.706952
7,7,x1922c1s7b0n0,23.347796866182183,"[23.80909865 23.59777591 23.62111728 23.7990409  23.43141332 23.70173734
 23.70925343 23.12078588 22.64544034 22.85746939 23.56059491 22.96606764
 23.43656162 23.54353789 23.3000434  23.5780241  23.44514715 23.46116737
 23.70855079 23.5087379  23.72978889 23.4624747  23.34818862 23.6403825
 23.56809116 23.23366093 23.29719356 23.27360744 23.52270088 23.30384426
 22.73398959 23.53744219 23.60641032 23.65212455 23.28017693 23.24804208
 23.55088463 23.30567726 23.49210078 23.6433868  23.58615728 22.83854576
 23.47838081 23.50949784 23.50887607 22.92250474 22.92145391 22.93098061
 23.40906165 23.36994625 23.46268114 23.04718335 23.47011521 23.54783448
 23.31267248 23.50625119 23.13536211 23.44377304 23.52366922 23.40563725
 23.54423078 23.54942878 23.37465778 22.96086034 23.5867136  23.49361855
 23.517169   23.22563413 23.58761768 23.03755986 23.04990593 23.47348963
 23.06924812 23.00688481 22.94044946 23.18806974 23.18000724 22.85982072
 23.60585307 23.13375649 23.37657025 23.18195517 23.4624747  23.25594916
 23.34219364 23.51136334 23.30072203 22.79936276 23.32409116 23.41872386
 22.89134907 23.50231498 23.37984949 22.97325626 23.49106605 23.39099213
 23.37704841 22.81997889 23.47101037 23.56212153]",0.26177272748236624,2023-09-14 14:45:58.744089
8,8,x1922c2s0b0n0,23.013526516208216,"[23.33334306 22.82284338 23.06080269 23.03656479 23.15940619 23.23055748
 22.8794994  23.07324023 22.53267237 22.87387346 23.11737849 23.31185728
 23.23953277 23.39085535 22.72675621 23.41029468 23.21309915 22.18598511
 23.29868625 22.67528705 23.22111728 23.26041194 22.84558952 22.67599406
 23.10249131 23.21828672 22.75727095 22.31177922 23.01827075 23.15746206
 22.90353888 23.23960028 23.38353974 23.02701645 22.50098442 23.20279826
 22.99339515 22.71359295 23.14118437 23.30011126 23.13429167 22.3709893
 23.35575486 23.01933048 23.16403321 22.91173826 23.18961569 23.30418368
 23.09735535 23.01231159 23.20205802 23.16872917 23.22543185 22.94466035
 23.13469307 22.88669939 22.97154113 23.1925065  23.01986038 23.12887409
 23.02588973 23.17040676 22.83593806 23.21080927 22.99788994 22.98276006
 23.26595899 23.11277009 22.69683833 22.95980599 23.27997369 23.18484407
 22.9873828  22.96158527 22.54785077 23.06432641 23.23285125 22.7978684
 23.14486661 22.87112692 23.17604524 23.00668632 22.28052292 22.63614936
 23.12780425 23.14734442 22.7974786  22.9390681  23.13844018 23.01648268
 23.01429763 22.97853518 22.73405419 22.78767301 23.01933048 22.86367534
 23.16148477 22.72565869 23.14955481 23.33899304]",0.25100940968812613,2023-09-14 14:45:58.206349
9,9,x1922c2s2b0n0,23.10426914206495,"[23.59638385 23.271441   23.28878383 23.1804774  23.36851268 23.38914568
 23.25074475 23.01866814 23.24797452 22.88381885 23.50749448 23.00595854
 23.35234604 23.42174065 23.2607501  23.24297626 23.11043321 23.14453182
 23.01774092 22.77424461 23.52290837 23.27110253 23.35834623 23.18141778
 22.91508529 23.37534077 23.0928216  23.3092083  23.31838042 23.22273506
 23.25811272 23.17148054 22.24434299 23.30513412 22.75028153 23.30024698
 23.23379588 23.29956838 23.31722502 22.80157217 23.36680628 23.02284154
 23.17161477 23.31668134 23.07636836 22.49320284 23.00787732 22.9809775
 23.17698525 22.762192   23.29163161 23.10289162 22.83509068 23.17389692
 23.02410048 23.22502729 22.74911705 22.84656816 23.47576274 22.5073782
 23.26244104 22.92716898 23.39598583 23.24297626 23.15779723 23.18182082
 22.95868584 23.16342958 23.08675715 23.22044328 22.67155995 22.43227556
 23.16262479 23.17584382 23.0355698  23.2851912  22.44240717 23.38039612
 22.67670111 22.74931112 23.15143061 23.04558994 23.21565896 23.01688
 23.17946994 22.90078521 23.23123207 23.31953594 23.10989913 22.61727055
 23.11230268 23.18383623 22.95618239 23.23237897 23.05993855 22.77865412
 23.15417788 23.06698653 23.15726096 23.13777096]",0.2533628273829158,2023-09-14 14:45:59.209893
10,10,x1922c2s3b0n0,22.99520327438954,"[22.95677526 22.71269015 23.39564373 23.14419703 23.33130157 23.25081233
 23.15880281 22.55223662 23.22961311 23.20441348 22.65576547 23.23541542
 22.88925321 23.41050019 23.01151726 23.0524963  22.86622401 23.11163497
 23.15873576 22.48119308 22.88997362 22.91390387 23.15411087 23.08875606
 23.00873757 23.33735903 23.14794721 23.31756483 22.64710712 23.19734854
 22.69658076 23.37349679 22.81789608 23.05588458 23.40372002 22.40952853
 23.22651074 22.90917942 23.05455572 23.22435306 22.88303337 23.10429278
 22.49377204 23.24000535 22.86400206 22.92191364 23.13422477 22.87478912
 22.83932818 23.01297356 23.23413327 22.66699912 23.21707384 22.84115405
 22.84617669 23.11323753 23.26629731 23.07503714 22.95539193 22.41612167
 22.91488838 23.28837706 23.16034486 22.90111299 22.47740319 23.04784733
 23.19338061 23.13402408 22.97279447 22.55522506 23.15471401 23.14319272
 22.78384398 23.09482156 23.00701714 22.82675067 22.89921198 22.90806421
 23.23777766 22.89770451 22.89003911 22.78494712 22.27921989 23.10869754
 23.01409901 23.01760847 23.03702914 22.75552319 23.12165459 23.05980561
 22.76044349 22.67927256 22.79578962 23.20838519 23.20515386 23.02661877
 23.1698699  23.02072153 23.03702914 23.26622965]",0.24135840139255346,2023-09-14 14:45:59.159183
11,11,x1922c2s4b0n0,23.369652742017987,"[23.42283785 23.54554739 23.49762087 23.25831557 23.48265366 22.7537757
 23.02376916 23.62746575 23.45002653 23.00913463 23.67431248 23.64254831
 23.4521576  22.02612849 23.62802402 23.46123617 23.58024801 22.51111486
 23.74887935 23.45057644 22.62917013 23.70054363 23.54568599 23.05987208
 23.49141095 23.63095537 22.7271436  23.57573114 23.41043169 23.45408277
 23.52000376 22.73928837 23.54028184 23.36121105 23.5020388  23.60912729
 23.52629799 23.56802173 23.30723894 23.45937862 22.92322725 23.35493665
 23.66681853 23.41235001 23.61337816 23.27990595 23.33667826 23.52851215
 23.49617159 23.54436936 23.53979697 23.19829029 23.39023984 23.19882846
 23.62028037 23.51246896 23.34934709 23.34662145 23.50017478 23.31606973
 23.50107224 23.38176281 23.56052552 23.26873351 23.62641906 23.46763666
 23.34471388 23.55449037 23.55948475 23.35595942 23.53488016 23.31403126
 23.61365696 23.29461574 23.23764266 23.40714386 23.12633338 23.38866702
 23.48120623 23.39352292 23.37322364 23.47280089 23.06319604 23.27990595
 23.67571375 23.14486661 23.45944741 23.22327437 23.44576555 23.39885989
 23.50486992 23.39988651 23.40146084 23.48878997 23.35534575 23.43717957
 23.01495972 23.32313918 23.18813695 23.16919887]",0.26921654929795624,2023-09-14 14:45:58.688495
12,12,x1922c2s6b0n0,23.223800851770775,"[23.52221673 23.52692068 23.44631527 23.39345451 23.51385113 23.42928602
 23.02522701 23.6286521  22.85009197 23.55171663 23.26196756 23.55830533
 23.04253652 23.36728405 23.45270762 23.43326645 23.1830972  23.13034528
 22.7865696  23.45635213 22.99167701 23.28132867 23.46467686 23.3601196
 23.42338649 23.3841549  23.25892416 23.32205129 23.43436474 23.5036269
 23.13710179 23.1712792  23.14828211 22.74025793 23.23933024 22.83893696
 23.23501051 23.33266252 23.2623734  23.47121695 23.24547512 23.13783788
 23.17826111 23.41324077 23.09735535 22.96659509 23.37909792 23.20300015
 23.49582655 23.43779755 23.21606319 22.68853463 23.18894351 23.17852973
 22.18284767 23.46440157 23.29522623 23.54575529 23.23244643 22.65461064
 23.14379529 22.65884559 22.90609646 23.5842799  23.29570107 23.27374285
 23.12499639 23.40830819 22.73179325 23.19008624 23.14680863 23.28966521
 23.25344805 23.37083378 23.03941756 23.35820983 23.19217032 23.22873627
 23.49907032 23.1187146  22.87053846 23.08422568 22.76627291 23.1787312
 23.29441225 23.06419342 23.39913365 22.9579611  23.33143765 23.04426227
 23.390445   23.34137638 22.81952324 23.48320511 23.28424239 23.42256354
 23.30452312 23.39906521 22.91232884 23.45415153]",0.2520886103494057,2023-09-14 14:45:58.613058
13,13,x1922c3s0b0n0,22.88243493640709,"[23.33531684 23.29597242 23.02913762 23.12653394 22.95321847 23.23663022
 22.93439902 22.54994814 23.0408774  22.86112723 23.23102969 22.9923378
 23.02184773 22.73566942 22.65435403 22.92920608 22.66648533 23.26656798
 23.03550347 23.00503235 22.68750514 23.0673856  23.1968777  22.94156783
 22.6041699  22.89521433 23.22934331 22.74504229 22.60787489 22.82141105
 23.04260289 23.04439503 23.08828962 22.6917524  21.93890563 22.96013546
 22.88087359 23.08129521 22.91114771 22.91331321 23.04147465 22.92204499
 23.08922253 22.91042596 22.76763353 22.43894503 22.91357572 22.68094432
 22.64249203 22.88990813 22.77534683 22.83261411 22.81301597 23.10776305
 22.98474101 23.00675248 22.86223787 22.63807101 22.83874136 22.5543348
 22.28368806 22.68062281 22.04561237 22.781638   22.62257903 23.27414911
 22.26025015 23.07876494 22.98989307 22.61145327 23.24473216 22.51295198
 23.16685055 22.53908418 23.04273563 22.967716   23.12218921 22.96705663
 23.10049002 23.15612147 23.06160042 22.87963027 22.94025211 22.5142825
 22.93111207 22.50319967 23.11397211 23.18726324 22.79507512 23.09062203
 23.07876494 22.37205283 23.07377262 22.50244011 22.87210775 23.03948392
 22.8927902  22.55859595 22.95960831 23.4677055 ]",0.27151646199968926,2023-09-14 14:45:59.074715
14,14,x1922c3s1b0n0,23.55858619168889,"[23.67017972 23.63284019 23.19109462 23.61700306 23.59728867 23.54762655
 23.71389189 23.42084924 23.77273268 23.67788604 23.76355265 23.78856721
 23.19586882 23.82498168 23.78991129 23.7827682  22.68055851 23.83662378
 23.39578057 23.93998246 23.79189232 23.68223181 22.84063234 23.36742056
 23.22988292 22.95618239 23.55005269 23.10142391 23.67949799 23.54291432
 23.01270877 23.19546529 23.74627109 23.19479277 22.64864589 23.23838516
 23.83136923 23.6504464  23.66051888 23.64932777 23.81994504 23.67669473
 23.56552246 23.91622148 23.55664047 23.79203383 23.52733582 23.72760707
 23.76976605 23.73654805 23.73901329 23.54984472 23.74570722 23.46928897
 23.62390739 23.72240047 23.7056704  23.7288035  23.63723929 23.63158361
 23.48168869 23.58782632 23.37062896 23.41584492 23.70623237 23.74937287
 23.50045091 23.82427217 23.68237203 23.06339551 23.78354595 23.7526165
 23.60216196 22.98480704 23.4968617  23.68096997 23.73450582 23.37991782
 23.47507387 23.74951388 23.66184852 23.65786003 22.84545904 23.20192344
 23.66212847 23.84536282 23.62886147 23.77499346 23.58066503 23.69429619
 23.66534831 23.67361191 23.42894294 23.76750625 23.65275392 23.4772784
 23.61930406 23.51523346 23.68917434 23.74218363]",0.2672908996879593,2023-09-14 14:45:58.411147
